ReportIndex,Report Name,API URL,Notes,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description,Is_Unique,Is_Index,GQL_Alias
1,Company historical price volume by date,,Prices/Volume by Date to analyze historical patterns,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,date,Date,Price Date,TRUE,TRUE,date
,,,,,,,,open,float,Open Price,,,Open_Price
,,,,,,,,high,float,High Price,,,High_Price
,,,,,,,,low,float,Low Price,,,Low_Price
,,,,,,,,close,float,Close Price,,,Closing_Price
,,,,,,,,volume,float,Volume,,,Traded_Volume
2,Company Price Volume Daily Moving Averages,,Analysis around support/resistance{{comma}}  breakout/crash based on latest closing price/volume compared with DMAs,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,latest_closing_price,float,Latest Closing Price,,,Latest_Closing_Price
,,,,,,,,latest_closing_volume,float,Latest Closing Volume,,,Latest_Closing_Volume
,,,,,,,,price_dma_5_day,float,5_Day_Price_DMA,,,Price_5_Day_Moving_Average
,,,,,,,,price_dma_10_day,float,10_Day_Price_DMA,,,Price_10_Day_Moving_Average
,,,,,,,,price_dma_20_day,float,20_Day_Price_DMA,,,Price_20_Day_Moving_Average
,,,,,,,,price_dma_50_day,float,50_Day_Price_DMA,,,Price_50_Day_Moving_Average
,,,,,,,,price_dma_100_day,float,100_Day_Price_DMA,,,Price_100_Day_Moving_Average
,,,,,,,,price_dma_200_day,float,200_Day_Price_DMA,,,Price_200_Day_Moving_Average
,,,,,,,,volume_dma_5_day,float,5_Day_Volume_DMA,,,Volume_5_Day_Moving_Average
,,,,,,,,volume_dma_10_day,float,10_Day_Volume_DMA,,,Volume_10_Day_Moving_Average
,,,,,,,,volume_dma_20_day,float,20_Day_Volume_DMA,,,Volume_20_Day_Moving_Average
,,,,,,,,volume_dma_50_day,float,50_Day_Volume_DMA,,,Volume_50_Day_Moving_Average
,,,,,,,,volume_dma_100_day,float,100_Day_Volume_DMA,,,Volume_100_Day_Moving_Average
,,,,,,,,volume_dma_200_day,float,200_Day_Volume_DMA,,,Volume_200_Day_Moving_Average
3,Company intraday oclh candles by minute,,Intra Day Prices/Volume by Minute to analyze intra-day trading patterns,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,datetime_minute,timestamp,price_timestamp_minute,TRUE,TRUE,datetime_minute
,,,,,,,,open,float,Open Price,,,Open_Price
,,,,,,,,high,float,High Price,,,High_Price
,,,,,,,,low,float,Low Price,,,Low_Price
,,,,,,,,close,float,Close Price,,,Closing_Price
,,,,,,,,volume,float,Volume,,,Traded_Volume
