ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description,Is_Unique,Is_Index,GQL_Alias
1,Company Announcements,,EOD,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,announcement_date,Date,Announcement Date,,TRUE,
,,,,,,,,announcement_document_link,Varchar(100),Document Link,TRUE,TRUE,
,,,,,,,,announcement_text,Varchar(100),Annoucement Text,,,
,,,,,,,,announcement_text_summary,Varchar(100),Annoucement Text Summary,,,
,,,,,,,,announcement_category,Varchar(100),Annoucement Category,,,
,,,,,,,,announcement_sub_category,Varchar(100),Annoucement Subcategory,,,
,,,,,,,,announcement_impact,Varchar(100),Annoucement Impact,,,
,,,,,,,,announcement_sentiment,Varchar(100),Annoucement Sentiment,,,
2,Company New FiftyTwo Week HighLow,,EOD,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Column_Name,Column_DataType,Column_Description,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,date,Date,New High Low Date,TRUE,TRUE,
,,,,,,,,last_traded_price,float,Last Traded Price,,,
,,,,,,,,change_percent,float,Change Percent,,,
,,,,,,,,new_high_low,float,New High Low,,,
,,,,,,,,prev_high_low,float,Previous High Low,,,
,,,,,,,,prev_high_low_date,Date,Previous High Low Date,,,
,,,,,,,,is_hight,boolean,Is High or Low,,,
